&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT   155  156  H    03 00 0  F                 118
DEFANT   156  169  H    20 00 0  F                 664
DEFANT   156  169  H    21 00 0  F                 598
DEFANT   156  169  H    22 00 0  F                 597
DEFANT   156  169  H    23 00 0  F                 598
DEFANT   156  169  H    24 00 0  F                 581
DEFANT   156  169  H    25 00 0  F                 597
DEFANT   156  169  H    28 00 0  F                 594
DEFANT   156  169  H    29 00 0  F                 595
DEFANT   156  169  H    31 00 0  F                 533
DEFANT   156  169  H    01 00 0  F                 551
DEFANT   156  169  H    02 00 0  F                 597
DEFANT   156  169  H    03 00 0  F                 600
DEFANT   162  169  H    20 00 0  F                  14
DEFANT   162  169  H    21 00 0  F                  17
DEFANT   162  169  H    23 00 0  F                  14
DEFANT   162  169  H    27 00 0  F                  13
DEFANT   162  169  H    28 00 0  F                  14
DEFANT   162  169  H    01 00 0  F                  17
DEFANT   162  169  H    02 00 0  F                  15
DEFANT   162  169  H    03 00 0  F                  12
DEFANT   169  172  H    01 00 0  F                3015
DEFANT   169  172  H    02 00 0  F                2877
DEFANT   169  172  H    03 00 0  F                2803
DEFANT   172  173  H    03 00 0  F                1598
DEFANT   175  178  H    03 00 0  F                1598
