&
RP    1  04  0 0  F           5% CARGA DO SIN NO CAG SECO
&
LM    1   4  0 0  F            3194
LM    1   4  0 1  F            3139
LM    1   4  1 0  F            3080
LM    1   4  1 1  F            3033
LM    1   4  2 0  F            2994
LM    1   4  2 1  F            2967
LM    1   4  3 0  F            2948
LM    1   4  3 1  F            2940
LM    1   4  4 0  F            2947
LM    1   4  4 1  F            2969
LM    1   4  5 0  F            3019
LM    1   4  5 1  F            3068
LM    1   4  6 0  F            3139
LM    1   4  6 1  F            3198
LM    1   4  7 0  F            3295
LM    1   4  7 1  F            3406
LM    1   4  8 0  F            3529
LM    1   4  8 1  F            3599
LM    1   4  9 0  F            3635
LM    1   4  9 1  F            3669
LM    1   4 10 0  F            3716
LM    1   4 10 1  F            3746
LM    1   4 11 0  F            3750
LM    1   4 11 1  F            3729
LM    1   4 12 0  F            3670
LM    1   4 12 1  F            3664
LM    1   4 13 0  F            3750
LM    1   4 13 1  F            3843
LM    1   4 14 0  F            3913
LM    1   4 14 1  F            3958
LM    1   4 15 0  F            3984
LM    1   4 15 1  F            4008
LM    1   4 16 0  F            4025
LM    1   4 16 1  F            4002
LM    1   4 17 0  F            3912
LM    1   4 17 1  F            3889
LM    1   4 18 0  F            3919
LM    1   4 18 1  F            4039
LM    1   4 19 0  F            4088
LM    1   4 19 1  F            4074
LM    1   4 20 0  F            4048
LM    1   4 20 1  F            4035
LM    1   4 21 0  F            4032
LM    1   4 21 1  F            4001
LM    1   4 22 0  F            3927
LM    1   4 22 1  F            3850
LM    1   4 23 0  F            3748
LM    1   4 23 1  F            3670
LM    1   5  0 0  F            3271
LM    1   5  8 0  F            3653
LM    1   5 10 0  F            3884
LM    1   5 20 0  F            3886
LM    1   6  0 0  F            3278
LM    1   6  8 0  F            3664
LM    1   6 10 0  F            3899
LM    1   6 20 0  F            3882
LM    1   7  0 0  F            3289
LM    1   7  8 0  F            3681
LM    1   7 10 0  F            3897
LM    1   7 20 0  F            3879
LM    1   8  0 0  F            3291
LM    1   8  8 0  F            3668
LM    1   8 10 0  F            3860
LM    1   8 20 0  F            3837
9999
